epoch_index,predicted_label,confidence_score
296,1,0.79909456
297,3,0.7415686
463,3,0.7966984
1004,3,0.64457476
1162,3,0.7994165
1164,1,0.7494877
1218,3,0.7621915
4443,1,0.57499963
4681,3,0.78091717
