epoch_index,predicted_label,confidence_score
2093,3,0.7330482
2094,3,0.6600908
2095,1,0.6036833
2096,3,0.6541192
2130,1,0.71952724
3927,1,0.7690378
4197,3,0.78961045
5123,1,0.7549672
