epoch_index,predicted_label,confidence_score
86,3,0.7399129
87,2,0.7339091
503,3,0.769348
1117,3,0.78575146
1118,1,0.7998481
1125,2,0.7564661
2032,2,0.78692514
2033,3,0.7309953
2034,2,0.60088086
2035,3,0.7084805
4447,3,0.7353312
4950,3,0.79501253
