brain_state,confidence_score
3,0.99793196
3,0.99575645
3,0.99717146
3,0.9985531
3,0.9983034
3,0.99874014
3,0.99791235
3,0.99593323
3,0.995619
3,0.99874735
3,0.99915934
3,0.99918467
3,0.9993304
3,0.99927837
3,0.99744
3,0.9870631
2,0.9968951
2,0.9985065
3,0.9946497
3,0.99776125
3,0.9963618
3,0.9963916
3,0.9983463
3,0.99757606
3,0.997399
3,0.998095
3,0.99887365
3,0.9980122
3,0.9966252
3,0.9975273
3,0.9992119
3,0.99960166
3,0.9993612
3,0.9995098
3,0.99947995
3,0.99964
3,0.9988462
3,0.99918896
3,0.99868923
3,0.9952956
2,0.9879411
2,0.9863247
3,0.9887918
3,0.99676394
3,0.9964568
3,0.9978835
3,0.99869543
3,0.99905163
3,0.99907863
3,0.9989512
3,0.99935776
3,0.9995301
3,0.9996202
3,0.9992083
3,0.99919266
3,0.9994504
3,0.99824715
3,0.9986557
3,0.9992405
3,0.9994506
3,0.9993119
3,0.9987423
3,0.9986292
3,0.9991404
3,0.9994174
3,0.99949825
3,0.99955195
3,0.99971384
3,0.99962425
3,0.99965155
3,0.9993224
3,0.99820673
3,0.9965945
3,0.9984408
3,0.99921
3,0.9989544
3,0.9994234
3,0.99957854
3,0.9996099
3,0.99926704
3,0.9992786
3,0.9995301
3,0.99968815
3,0.9995148
3,0.9981199
3,0.99510175
2,0.97068787
2,0.99242675
2,0.983751
3,0.99351776
3,0.9965217
3,0.9979944
3,0.998338
3,0.99811244
3,0.9979215
3,0.9956929
3,0.99588335
3,0.9979353
3,0.9980135
3,0.99831307
3,0.9969785
3,0.99380046
3,0.99005777
3,0.9758184
2,0.942241
2,0.98691106
2,0.9953275
2,0.99860734
2,0.99905187
2,0.9626188
3,0.9890069
3,0.9951757
3,0.99649113
3,0.9982431
3,0.99818736
3,0.9977216
3,0.99878544
3,0.99950016
3,0.99920064
3,0.99883574
3,0.9990514
3,0.99896586
3,0.99926656
3,0.9986512
3,0.9983198
3,0.9993431
3,0.9995788
3,0.9996165
3,0.9997024
3,0.9996928
3,0.9997632
3,0.99963856
3,0.9992316
3,0.99969745
3,0.9998129
3,0.9995414
3,0.9994623
3,0.99931276
3,0.99929357
3,0.9993616
3,0.99931777
3,0.9995233
3,0.9993462
3,0.99873275
3,0.99935883
3,0.9989023
3,0.99875104
3,0.99745244
3,0.99643046
3,0.98806363
3,0.96159613
3,0.96688807
1,0.9681972
1,0.98238915
1,0.99180686
1,0.99533147
1,0.9977962
1,0.9985965
1,0.9985499
1,0.99894375
1,0.9997465
1,0.99974245
1,0.9996068
1,0.999398
1,0.99762386
1,0.9951574
1,0.99397695
1,0.9920665
1,0.9878072
1,0.9948808
1,0.9962793
1,0.9983041
1,0.9983492
1,0.99898523
1,0.99776554
1,0.99256456
1,0.98475003
1,0.98894393
1,0.99779993
1,0.9982797
1,0.99897265
1,0.9989801
1,0.9991862
1,0.9995065
1,0.99956626
1,0.99915695
1,0.9988061
1,0.99837923
1,0.996152
1,0.9978498
1,0.991932
1,0.9873979
1,0.99063104
1,0.9971904
1,0.99677724
1,0.99824405
1,0.999329
1,0.9993563
1,0.99949133
1,0.99939823
1,0.9991627
1,0.998195
1,0.99718297
1,0.9950906
1,0.9877672
1,0.99645257
1,0.9956856
1,0.9953306
1,0.99507254
2,0.98914564
2,0.9978258
2,0.92067844
3,0.9803814
3,0.9801114
3,0.9783277
3,0.9944517
3,0.99515826
3,0.99345654
3,0.9940876
3,0.9922059
3,0.9896052
3,0.9860021
3,0.9800924
3,0.9898789
3,0.99518836
3,0.9977035
3,0.99781716
3,0.9985642
3,0.99858785
3,0.9993724
3,0.9988274
3,0.9988826
3,0.99658453
3,0.98861593
3,0.9924034
3,0.9952663
3,0.9946972
3,0.9964952
3,0.9974172
3,0.9965139
3,0.9984414
3,0.9994791
3,0.999479
3,0.99900717
3,0.9995721
3,0.99935204
3,0.9987129
3,0.9977969
3,0.9991449
3,0.99825853
3,0.9968098
3,0.99658465
3,0.9987476
3,0.99813604
3,0.9975387
3,0.99774206
3,0.9979772
3,0.9986727
3,0.9988636
3,0.9984439
3,0.998588
3,0.9993098
3,0.999818
3,0.9994535
3,0.9994042
3,0.9995653
3,0.9996227
3,0.99970776
3,0.9992803
3,0.99623114
3,0.99277145
3,0.99666494
3,0.99738795
3,0.995413
3,0.99385756
3,0.9966798
3,0.99802446
3,0.9987993
3,0.99883384
3,0.99907196
3,0.9991153
3,0.99912304
3,0.99880314
3,0.99835986
3,0.99904424
3,0.9988226
3,0.99905163
3,0.9988405
3,0.99880636
3,0.9989367
3,0.9984126
3,0.9929854
3,0.9929095
3,0.99607086
3,0.9967976
3,0.9949961
3,0.9941888
3,0.9965635
3,0.99714667
3,0.9974064
3,0.9982028
3,0.9983119
3,0.9965115
3,0.9967744
3,0.99813014
3,0.99757355
3,0.9985343
3,0.99796754
3,0.9971384
3,0.9952838
3,0.9979638
3,0.9974275
3,0.99767214
3,0.99307066
3,0.99422956
3,0.9980596
3,0.9988171
3,0.9985954
3,0.99829596
3,0.99912184
3,0.99844235
3,0.998914
3,0.99612397
3,0.9929137
3,0.9959098
3,0.99810505
3,0.99704546
3,0.99757963
3,0.99829644
3,0.998808
3,0.9987544
3,0.9987715
3,0.9989281
3,0.9992268
3,0.9991647
3,0.99941146
3,0.9991892
3,0.9987282
3,0.9993548
3,0.9996277
3,0.99949026
3,0.99879265
3,0.99740136
2,0.9935561
2,0.99990654
2,0.99995494
2,0.99995124
2,0.9995431
3,0.989965
3,0.9905834
3,0.9971781
3,0.9988128
3,0.9987734
3,0.9984938
3,0.9987589
3,0.99909365
3,0.99783236
3,0.9979236
3,0.9970945
3,0.9978745
3,0.99703145
3,0.99588674
3,0.99857616
3,0.9987789
3,0.9987445
3,0.998283
3,0.9947961
3,0.9923585
3,0.9904152
3,0.9962071
3,0.9973495
3,0.997012
3,0.9966473
3,0.9965702
3,0.99555284
3,0.99701416
3,0.99871874
3,0.99666107
3,0.9980718
3,0.99879164
3,0.99836546
3,0.9956911
3,0.99163026
3,0.9924061
3,0.992309
3,0.9971685
3,0.99764615
3,0.99658597
3,0.9980544
3,0.99389887
3,0.99246687
3,0.9983535
3,0.99825567
3,0.99849474
3,0.99890494
3,0.99318486
3,0.9875387
3,0.99423885
3,0.99833614
3,0.99779415
3,0.9947885
2,0.96664375
3,0.9579258
3,0.9830436
3,0.9942906
3,0.98198766
3,0.9544781
3,0.94083375
2,0.9992631
2,0.9999405
2,0.99995923
2,0.9999659
2,0.9999703
2,0.99992895
2,0.99985087
2,0.9995192
2,0.9934602
3,0.99546105
3,0.9968832
3,0.99842995
3,0.9990796
3,0.99812645
3,0.99733526
3,0.9990538
3,0.9985862
3,0.99885356
3,0.9990427
3,0.99958163
3,0.99928826
3,0.99810237
3,0.99747485
3,0.9987379
3,0.9996617
3,0.99781185
3,0.99615365
3,0.99827707
3,0.9996507
3,0.9989864
3,0.9977736
3,0.9981839
3,0.9981502
3,0.9962676
3,0.99635077
3,0.9982048
3,0.9994497
3,0.99925786
3,0.99916756
3,0.99919134
3,0.999328
3,0.99901867
3,0.9980356
3,0.9989674
3,0.9983789
3,0.9989981
3,0.99854785
3,0.9989938
3,0.9991737
3,0.99873286
3,0.9989304
3,0.99829763
3,0.9982273
3,0.9983322
3,0.9993765
3,0.99844235
3,0.99450594
3,0.9950157
3,0.99570566
3,0.995904
3,0.99688727
3,0.99666506
3,0.99523526
3,0.995971
3,0.99796873
3,0.9977691
3,0.9979767
3,0.9987816
3,0.99919957
3,0.9993332
3,0.99878246
3,0.9993242
3,0.9992471
3,0.99864334
3,0.9957535
3,0.99545324
3,0.99930465
3,0.99924743
3,0.99894005
3,0.9990773
3,0.99973637
3,0.9998011
3,0.9998233
3,0.9998023
3,0.9998665
3,0.9997714
3,0.9994791
3,0.99957746
3,0.99976176
3,0.9992918
3,0.99874747
3,0.99800223
3,0.9987437
3,0.99895775
3,0.9986198
3,0.9991431
3,0.9957249
3,0.994755
3,0.9972018
3,0.9975211
3,0.99366075
3,0.9935434
3,0.997844
3,0.99734735
3,0.99679524
3,0.9975666
3,0.9960756
3,0.99404585
3,0.9936992
3,0.9921708
3,0.9927617
3,0.99316424
3,0.9976617
3,0.9984642
3,0.99680907
3,0.9973207
3,0.99931836
3,0.9996846
3,0.99917394
3,0.9988562
3,0.99892163
3,0.99953246
3,0.99928963
3,0.9994906
3,0.9997117
3,0.9996865
3,0.9991912
3,0.99957424
3,0.99969864
3,0.9995888
3,0.9997708
3,0.999619
3,0.9995285
3,0.99922705
3,0.9986451
3,0.9985896
3,0.9902312
3,0.87152547
1,0.8490927
1,0.8604301
1,0.97322434
1,0.9830429
1,0.97876066
1,0.97262853
1,0.9704197
1,0.9605058
1,0.75403243
2,0.8270214
2,0.98629516
2,0.99465656
2,0.9958022
2,0.9932207
2,0.9991025
2,0.99978274
2,0.999696
2,0.99955064
2,0.9986172
3,0.9439246
3,0.9572089
3,0.98025835
3,0.9929476
3,0.9957812
3,0.9988158
3,0.9992021
3,0.9994424
3,0.99936444
3,0.9989568
3,0.9983889
3,0.9986848
3,0.9994161
3,0.999084
3,0.99894255
3,0.9993893
3,0.99962723
3,0.99911803
3,0.999308
3,0.99880385
3,0.9989248
3,0.9981633
3,0.9819067
2,0.98285484
2,0.98890615
3,0.9916933
3,0.9944912
3,0.9965862
3,0.99842274
3,0.9982912
3,0.9986117
