brain_state,confidence_score
2,0.9979087
2,0.99631566
2,0.99714905
2,0.9984712
2,0.9991328
2,0.9992661
2,0.9996563
2,0.9997408
2,0.9998555
2,0.9999374
2,0.99990344
2,0.9999256
2,0.99998665
2,0.9999819
2,0.9999819
2,0.99998283
2,0.9999851
2,0.9999882
2,0.999992
2,0.9999856
2,0.9999343
2,0.99997556
2,0.99998796
2,0.9999689
2,0.9999746
2,0.99999416
2,0.99998236
2,0.999931
2,0.99997056
2,0.999984
2,0.999948
2,0.9999442
2,0.9999157
2,0.9997861
2,0.999619
2,0.99981326
2,0.9997615
2,0.9999275
2,0.9999707
2,0.99998105
2,0.99998164
2,0.9999325
2,0.99990284
2,0.999944
2,0.9999021
2,0.9998634
2,0.9998053
2,0.9998209
2,0.99987423
2,0.9998416
2,0.9999566
2,0.99998975
2,0.99998593
2,0.9999883
2,0.9999826
2,0.99994814
2,0.9999012
2,0.99997187
2,0.99997973
2,0.9999794
2,0.99997103
2,0.9999788
2,0.99998534
2,0.9999814
2,0.9999505
2,0.9999542
2,0.99983716
2,0.99979347
2,0.9997545
2,0.9992101
2,0.99950564
2,0.99984825
2,0.99991083
2,0.9999521
2,0.9999571
2,0.9999614
2,0.99992156
2,0.99994695
2,0.99997556
2,0.99997103
2,0.9999882
2,0.9999784
2,0.99997544
2,0.9999746
2,0.9999819
2,0.99998236
2,0.9999807
2,0.99992895
2,0.99974376
2,0.99858594
2,0.99911076
2,0.9996687
2,0.9998548
2,0.99989545
2,0.99994326
2,0.99995756
2,0.9998666
2,0.9998578
2,0.99989843
2,0.99992454
2,0.99991524
2,0.99994516
2,0.9999093
2,0.9999156
2,0.9999459
2,0.99996984
2,0.9999651
2,0.9999846
2,0.9999857
2,0.9999505
2,0.9999006
2,0.999843
2,0.9999404
2,0.99995637
2,0.9999529
2,0.9999677
2,0.9999745
2,0.9999503
2,0.9999206
2,0.9992828
2,0.99072015
2,0.9474955
2,0.98067915
2,0.9907126
2,0.9992873
2,0.99991894
2,0.9999614
2,0.9999794
2,0.9999697
2,0.99997103
2,0.99996126
2,0.99997663
2,0.9999745
2,0.9999765
2,0.99995875
2,0.99995446
2,0.99998295
2,0.99999297
2,0.9999733
2,0.99991655
2,0.9998983
2,0.9998204
2,0.9996908
2,0.9999052
2,0.9999496
