brain_state,confidence_score
1,0.973929
1,0.9887504
1,0.99398804
1,0.9983119
1,0.9994035
1,0.9992607
1,0.9988533
1,0.99689
1,0.9976937
1,0.95034176
2,0.9867047
2,0.9996978
2,0.9999082
2,0.99997497
2,0.9999895
2,0.9999951
2,0.99999475
2,0.99999475
2,0.99999297
2,0.999995
2,0.9999975
2,0.9999962
2,0.999997
2,0.999997
2,0.9999962
2,0.9999529
2,0.9997385
2,0.99987984
2,0.99983406
2,0.9987804
2,0.972314
2,0.97810286
2,0.979745
2,0.97370684
2,0.99131376
2,0.9907307
2,0.97895604
2,0.9849074
2,0.98735774
2,0.9734764
2,0.9500801
3,0.9568935
3,0.97440946
3,0.99070704
3,0.9808411
3,0.9814153
3,0.99089277
3,0.9790071
3,0.9878655
3,0.97582394
3,0.946632
3,0.9633397
3,0.9874543
3,0.9903804
3,0.9870522
3,0.99312085
3,0.9862752
3,0.9900919
3,0.99205315
3,0.9939878
3,0.99488336
3,0.99722123
3,0.99647695
3,0.9932916
3,0.99035114
3,0.9967512
3,0.99802506
3,0.98989505
3,0.99197996
3,0.99566805
3,0.99560875
3,0.9944026
3,0.99380916
3,0.9508279
2,0.9950637
2,0.99504507
2,0.99232167
2,0.98203593
2,0.9803121
3,0.9601199
3,0.96560186
2,0.9815594
2,0.9986745
2,0.99821246
2,0.99418324
2,0.9915542
2,0.9853007
3,0.9810909
3,0.9925674
3,0.9946101
3,0.9967956
3,0.9980386
3,0.9886304
3,0.9820779
3,0.98656726
3,0.99533564
3,0.9981109
3,0.9983144
3,0.9986669
3,0.99945897
3,0.9996118
3,0.9993278
3,0.99890256
3,0.9977361
3,0.9954293
3,0.9957087
3,0.99575233
3,0.99066633
3,0.9829322
3,0.9872574
3,0.99141777
3,0.9946786
3,0.9939826
3,0.9894001
3,0.988513
3,0.9926777
3,0.9926991
3,0.98589224
3,0.98757255
3,0.99442
3,0.9961151
3,0.99773526
3,0.9980787
3,0.9980642
3,0.9964844
3,0.99714345
3,0.9986571
3,0.9987437
3,0.9987356
3,0.9989229
3,0.9981198
3,0.99534637
3,0.99218243
3,0.9911221
3,0.9861268
3,0.98036706
3,0.9862833
2,0.99442035
2,0.9920738
3,0.9827545
3,0.9938216
3,0.99692994
3,0.9932581
3,0.9888208
3,0.988414
3,0.99162453
3,0.99232
3,0.99285865
3,0.99455935
3,0.9954839
3,0.99528474
3,0.9950754
3,0.9941993
3,0.9894985
3,0.9882395
3,0.98085725
3,0.97188663
3,0.98637146
3,0.99766636
3,0.99835145
3,0.99241614
3,0.9927313
3,0.9887981
3,0.99184
3,0.99030507
3,0.98950046
3,0.99218917
3,0.99454993
3,0.997855
3,0.99805766
3,0.9977654
3,0.99790823
3,0.9962167
3,0.9893338
3,0.97963816
3,0.99113524
2,0.97522527
2,0.9982023
2,0.99759054
2,0.99789256
2,0.995329
3,0.9890954
3,0.9958889
3,0.99343663
3,0.99477947
3,0.99301445
3,0.9859152
3,0.98920655
3,0.9961941
3,0.99768364
3,0.9988564
3,0.9981604
3,0.99843293
3,0.9990206
3,0.99790406
3,0.99719656
3,0.9963977
3,0.9970293
3,0.9961993
3,0.9900671
3,0.99430335
3,0.9968039
3,0.9973272
3,0.9952024
3,0.99067444
3,0.99504304
3,0.995624
3,0.9964412
3,0.98290795
2,0.978366
3,0.9742991
3,0.99551517
3,0.99765587
3,0.99745756
3,0.99561065
3,0.996662
3,0.9971986
3,0.9967044
3,0.99618226
3,0.99739826
3,0.9937516
3,0.9867844
3,0.9824461
3,0.99565095
3,0.995609
3,0.9951626
3,0.9955059
3,0.99692994
3,0.9963942
3,0.99533385
3,0.99578214
3,0.9964414
3,0.99585354
3,0.9896638
3,0.9687544
2,0.97710687
2,0.9911691
2,0.9874148
3,0.97537494
3,0.9864071
3,0.99225426
3,0.996876
3,0.99662894
3,0.9983334
3,0.9984681
3,0.99895763
3,0.99942267
3,0.99922395
3,0.99825877
3,0.9967963
3,0.99547356
3,0.99469393
3,0.99622947
3,0.99502087
3,0.99319386
3,0.9770743
3,0.9759065
3,0.989144
3,0.9967957
3,0.98867
3,0.98608565
3,0.9270223
2,0.99559253
2,0.99871135
2,0.9952572
2,0.9870727
3,0.984479
3,0.9874499
3,0.99587053
3,0.99806887
3,0.99697495
3,0.99861324
3,0.9987469
3,0.99928504
3,0.9983542
3,0.9976421
3,0.99806184
3,0.9989673
3,0.99892706
3,0.99910825
3,0.9994783
3,0.9993363
3,0.9985415
3,0.9980957
3,0.99792045
3,0.9977209
3,0.9928329
3,0.9830892
3,0.971512
2,0.99608105
2,0.99321073
3,0.990321
3,0.9929733
3,0.99392647
3,0.99663603
3,0.9975079
3,0.9988789
3,0.9984592
3,0.9976674
3,0.9980197
3,0.9982449
3,0.99871635
3,0.99597037
3,0.995983
3,0.9947272
3,0.99629754
3,0.9951208
3,0.9899204
3,0.9917754
3,0.9920312
3,0.9953525
3,0.9947719
3,0.9939598
3,0.98867804
3,0.97629297
3,0.97571236
3,0.99311405
3,0.99802196
3,0.9977775
3,0.9984475
3,0.9985638
3,0.9991351
3,0.99736077
3,0.9926912
3,0.9976043
3,0.9991825
3,0.9984066
3,0.9973896
3,0.9972403
3,0.9969649
3,0.99325234
3,0.99516135
3,0.9910767
3,0.9867771
3,0.9800597
3,0.9812881
3,0.97762567
3,0.95695424
2,0.9951827
2,0.99947864
2,0.99862504
2,0.98116195
3,0.98562014
3,0.9724602
3,0.988858
3,0.99140453
3,0.9943944
3,0.9966684
3,0.99876165
3,0.9989912
3,0.9980586
3,0.9960103
3,0.997505
3,0.99850696
3,0.9954275
3,0.9964858
3,0.9920781
3,0.9963644
3,0.9962787
3,0.9975567
3,0.9978543
3,0.99871385
3,0.99817514
3,0.99437165
3,0.9892301
3,0.99400383
3,0.9950688
3,0.99540085
3,0.9952602
3,0.9984414
3,0.9970029
3,0.9953082
3,0.9936931
3,0.98718643
3,0.9419568
1,0.93755245
1,0.9615774
1,0.9647432
1,0.93119407
1,0.88994336
1,0.87947524
1,0.93427575
1,0.9359568
1,0.95292366
1,0.97767156
1,0.993909
1,0.9981269
1,0.9989931
1,0.9997267
1,0.99986446
1,0.9998399
1,0.99989164
1,0.999856
1,0.99979466
1,0.9997415
1,0.9996244
1,0.9995233
1,0.9984226
1,0.9978695
1,0.99889344
1,0.9993783
1,0.99965787
1,0.9997744
1,0.99985445
1,0.99979883
1,0.99977475
1,0.99963903
1,0.9994259
1,0.99934775
1,0.99925333
1,0.99936944
1,0.9994692
1,0.9996761
1,0.9993773
1,0.9994935
1,0.99897015
1,0.99800605
2,0.99847084
2,0.999969
2,0.99996614
2,0.9998989
2,0.9999063
2,0.99967694
2,0.9974694
2,0.9949079
2,0.99937433
2,0.9999051
2,0.9999379
2,0.99998283
2,0.9999896
2,0.9999907
2,0.99998057
2,0.99999535
2,0.99999547
2,0.9999933
2,0.99998534
2,0.99998987
2,0.9999901
2,0.99997604
2,0.9999348
2,0.9997577
2,0.9995389
2,0.9996592
2,0.99950504
2,0.9988423
2,0.9977336
2,0.9986106
2,0.9983365
2,0.99747986
2,0.99663323
2,0.9989077
2,0.9982309
2,0.99452966
2,0.99895203
2,0.9998165
2,0.999493
2,0.9987534
2,0.99953604
2,0.9999032
2,0.9999583
2,0.9999261
2,0.99993
2,0.9998099
2,0.9995883
2,0.9994141
2,0.9988949
2,0.9984516
2,0.9991903
2,0.9999572
2,0.99998295
2,0.9999831
2,0.999984
2,0.999987
2,0.99997234
2,0.99996567
2,0.9999583
2,0.99993217
2,0.9999256
2,0.9997342
2,0.99972326
2,0.9995689
2,0.9996357
2,0.9998766
2,0.9998958
2,0.9999105
2,0.9998561
2,0.99971884
2,0.99945587
2,0.9949941
2,0.9891151
2,0.9921848
2,0.99077445
2,0.98317647
2,0.9941544
2,0.99822944
2,0.9990903
2,0.99950933
2,0.99957854
2,0.99975854
2,0.99988663
2,0.99994767
2,0.99998856
2,0.99993515
2,0.9998784
2,0.99934894
2,0.99816245
2,0.9974087
2,0.99837315
2,0.999012
2,0.99928814
2,0.99964035
