brain_state,confidence_score
2,0.9999281
2,0.9999137
2,0.9999628
2,0.99991703
2,0.9997452
2,0.99960643
2,0.99961543
2,0.9988042
2,0.99730116
2,0.99581367
2,0.99502397
2,0.99828416
2,0.99876726
2,0.9987552
2,0.9981773
2,0.9956085
2,0.9950459
2,0.9947919
2,0.9943144
2,0.99523145
2,0.9947849
2,0.9951616
2,0.99790144
2,0.9972631
2,0.9976931
2,0.99907935
2,0.99987185
2,0.9998503
2,0.9996499
2,0.99835795
2,0.9962509
2,0.9866334
2,0.96784
3,0.96049446
3,0.9627547
3,0.9627862
3,0.88956505
3,0.82721055
2,0.93400013
2,0.9294769
2,0.89405274
2,0.82222795
2,0.8760502
3,0.89360845
2,0.9235619
2,0.93189466
2,0.9616907
3,0.92017186
2,0.985047
2,0.96818405
3,0.98180586
3,0.9778666
3,0.98789483
3,0.99541974
3,0.992912
3,0.9906165
3,0.9985807
3,0.9974408
3,0.99301696
3,0.9931075
3,0.9928134
3,0.98722005
3,0.91043913
2,0.9549916
2,0.998701
2,0.99510276
3,0.99193317
3,0.99310404
3,0.99227965
3,0.99770147
3,0.9980044
3,0.99745995
3,0.99873894
3,0.9990972
3,0.9972748
3,0.99558496
3,0.99775994
3,0.9980299
3,0.9914746
2,0.9866197
2,0.98992425
3,0.9888431
3,0.9961665
3,0.9952803
3,0.99697137
3,0.99689674
3,0.99317
3,0.99240464
3,0.9910342
3,0.9838659
3,0.95084906
2,0.95806265
2,0.9977811
2,0.979889
3,0.9768786
3,0.99161166
3,0.985487
3,0.9909712
3,0.9977035
3,0.9959413
3,0.99565977
3,0.99299824
3,0.95840913
2,0.8910346
2,0.9491535
2,0.97899276
2,0.997682
2,0.9881044
3,0.9966761
3,0.99774027
3,0.9986663
3,0.99808526
3,0.99727863
3,0.9988758
3,0.9988507
3,0.9978223
3,0.99634874
3,0.99671304
3,0.9971758
3,0.993828
3,0.99484813
3,0.9985203
3,0.9979564
3,0.99587363
3,0.99688655
3,0.99668473
3,0.99623764
3,0.982225
2,0.9847201
2,0.9755089
3,0.952056
3,0.99552745
3,0.99216276
3,0.9854218
3,0.9962134
3,0.9957904
3,0.994947
3,0.9962812
3,0.99775165
3,0.9986828
3,0.99873966
3,0.998926
3,0.99863017
3,0.99719113
3,0.996756
3,0.99628687
3,0.96055716
2,0.9874105
2,0.96583396
3,0.960684
3,0.9916074
3,0.99739325
3,0.99685425
3,0.99800366
3,0.9987668
3,0.99873453
3,0.9979645
3,0.9973803
3,0.93166786
2,0.9875044
2,0.99143386
2,0.97342604
3,0.9741638
3,0.9654223
3,0.9727128
3,0.99056506
3,0.9958131
3,0.9925557
3,0.9908154
3,0.99662673
3,0.99644417
3,0.9977998
3,0.9966718
3,0.9978276
3,0.9987632
3,0.99829596
3,0.9984945
3,0.9988568
3,0.9957754
3,0.9966928
3,0.9964317
3,0.998042
3,0.99800617
3,0.99733895
3,0.99785405
3,0.9979367
3,0.9980002
3,0.9967901
3,0.9988096
3,0.9986727
3,0.9979791
3,0.99750084
3,0.9863783
2,0.9796888
2,0.9578311
2,0.95626825
2,0.9258729
2,0.9982516
2,0.99936134
2,0.9942107
2,0.99013054
3,0.984954
3,0.99445087
3,0.9959514
3,0.9959974
3,0.996968
3,0.9991603
3,0.99854904
3,0.99788314
3,0.9978806
3,0.9965663
3,0.9888743
3,0.9876275
3,0.99303776
3,0.9980184
3,0.9975547
3,0.99910706
3,0.99927
3,0.9990433
3,0.9991605
3,0.99837816
3,0.9985084
3,0.9984956
3,0.98794276
3,0.9691408
3,0.9724578
3,0.9642914
2,0.9852807
2,0.9699448
3,0.98985565
3,0.9966246
3,0.9982242
3,0.9984932
3,0.998353
3,0.99747235
3,0.99858934
3,0.9988311
3,0.9979583
3,0.9984856
3,0.99924684
3,0.9993624
3,0.997846
3,0.99856156
3,0.99816054
3,0.99797624
3,0.9989242
3,0.9986902
3,0.9975914
3,0.996786
3,0.9936247
3,0.9953054
3,0.9947541
2,0.9334609
2,0.96576846
3,0.979912
3,0.99426854
3,0.9957984
3,0.99725515
3,0.99880326
3,0.9993498
3,0.9988852
3,0.9983719
3,0.99879265
3,0.9995216
3,0.9987446
3,0.9953956
3,0.99391925
3,0.99843603
3,0.99753606
3,0.99454075
3,0.9919612
3,0.9979342
3,0.9985977
3,0.996452
3,0.99525476
3,0.9985006
3,0.99947554
3,0.99956864
3,0.99959296
3,0.99948967
3,0.99925107
3,0.9968045
3,0.99612135
3,0.9968252
3,0.9959955
3,0.9944113
3,0.97889256
3,0.91429746
3,0.9540863
3,0.9560742
3,0.8646167
1,0.9622873
1,0.9835253
1,0.94331765
2,0.99720436
2,0.99931836
2,0.9978556
2,0.9880669
2,0.9537206
2,0.9608135
2,0.9088587
3,0.9059271
2,0.85304385
2,0.9193904
3,0.98362434
3,0.99655116
3,0.9980884
3,0.998489
3,0.99918944
3,0.9984823
3,0.9984181
3,0.99899536
3,0.9991598
3,0.9988838
3,0.99906236
3,0.9992969
3,0.99883765
3,0.9992575
3,0.99932957
3,0.99913365
3,0.9985858
3,0.99814224
3,0.9975311
3,0.9911514
3,0.9905201
3,0.99428326
3,0.99394387
3,0.99653316
3,0.99717414
3,0.99797064
3,0.9983808
3,0.9977457
3,0.9980363
3,0.9985668
3,0.99855226
3,0.99866986
3,0.9991566
3,0.9992093
3,0.99901223
3,0.9989806
3,0.9993343
3,0.99875784
3,0.9956311
3,0.997973
3,0.9985702
3,0.99753004
3,0.9972523
3,0.99823076
3,0.9972277
3,0.99599993
3,0.99785787
3,0.9974675
3,0.99732
3,0.99761933
3,0.9978351
3,0.9911179
3,0.99042505
3,0.96739256
3,0.929159
3,0.9651164
3,0.98411685
3,0.99465805
3,0.9963475
3,0.9980514
3,0.99654585
3,0.99438864
3,0.998021
3,0.9923872
2,0.96517855
3,0.96255696
3,0.9932468
3,0.99710184
3,0.99819857
3,0.99879587
3,0.99918383
3,0.9991678
3,0.9986205
3,0.99806124
3,0.9985631
3,0.9945515
3,0.9796482
3,0.95596087
3,0.99434847
3,0.9969869
3,0.9967278
3,0.9981108
3,0.99867946
3,0.9989448
3,0.9988757
3,0.9971091
3,0.99803966
3,0.9990305
3,0.9992454
3,0.9981171
3,0.9974322
3,0.9983895
3,0.9975351
3,0.9938129
3,0.9885971
3,0.98925847
3,0.9085771
1,0.9683511
1,0.987313
1,0.9462238
2,0.9801425
2,0.9982779
2,0.9900114
3,0.88412863
3,0.935238
3,0.97280383
3,0.97103286
3,0.98284376
3,0.99465126
3,0.9960025
3,0.9970855
3,0.9982583
3,0.9982356
3,0.9988011
3,0.99873704
3,0.99802905
3,0.9977957
3,0.9983374
3,0.9974613
3,0.99842924
3,0.99788624
3,0.9635182
3,0.9309439
3,0.9800039
3,0.9965469
3,0.9939493
3,0.9940876
3,0.99557966
3,0.99675506
3,0.99742174
3,0.994058
3,0.99292386
3,0.99219584
2,0.91562086
2,0.99283993
2,0.99912566
2,0.99707866
2,0.97122955
3,0.9919722
3,0.99350137
3,0.99634653
3,0.99825186
3,0.9984212
3,0.99750036
3,0.9949007
3,0.99177504
3,0.9936237
3,0.9777801
3,0.8874065
3,0.9355532
3,0.98935
3,0.9950918
3,0.99393505
3,0.99834526
3,0.99753064
3,0.99805343
3,0.9977633
3,0.99764496
3,0.99840397
3,0.9992473
3,0.99913293
3,0.9984719
3,0.9975526
3,0.9935767
3,0.978986
3,0.8832947
1,0.98170197
1,0.99326694
1,0.99451655
1,0.9927463
1,0.99408984
1,0.99684024
1,0.99799323
1,0.9982736
1,0.9989901
1,0.99921
1,0.9990036
1,0.99782073
1,0.99874026
1,0.99873704
1,0.9994991
1,0.9996903
1,0.999445
1,0.99883336
1,0.9978351
1,0.9975866
1,0.99589217
1,0.99851054
1,0.9983707
1,0.998097
1,0.9988495
1,0.99933136
1,0.9995846
1,0.99966097
1,0.99899167
1,0.999498
1,0.99973613
1,0.9998031
1,0.99962974
1,0.99963725
1,0.99940515
1,0.9994143
1,0.99848723
1,0.99662125
1,0.99587363
1,0.9956369
1,0.99860495
1,0.9974023
1,0.99800295
1,0.99596643
1,0.9963839
1,0.9970374
1,0.9907528
2,0.987563
2,0.9998598
2,0.9999608
2,0.99992704
2,0.99986875
2,0.999689
2,0.9998858
2,0.99862885
2,0.988336
2,0.96212876
2,0.9647897
3,0.9902705
3,0.9847178
3,0.9745574
3,0.9794439
3,0.9775893
2,0.93741983
2,0.99491763
2,0.999265
2,0.999972
2,0.9999708
2,0.99996066
2,0.9991648
2,0.9921531
2,0.98293614
3,0.99063724
3,0.9861838
3,0.9910124
3,0.99297184
2,0.986791
3,0.98661333
3,0.9940744
2,0.9817963
3,0.9818543
3,0.9939663
3,0.99662316
3,0.9968382
3,0.99655557
3,0.9909965
3,0.9911212
3,0.9943838
3,0.99665004
3,0.9944661
3,0.9977658
3,0.9981901
3,0.99718887
3,0.9988172
3,0.9993668
3,0.998879
3,0.9978929
3,0.9985379
3,0.9989911
3,0.99928087
3,0.99651355
3,0.9916677
3,0.99668014
3,0.99841034
3,0.9975448
3,0.99600995
3,0.99571985
3,0.99494153
3,0.9963554
3,0.9862851
3,0.98320746
3,0.9693647
2,0.9872705
2,0.99956256
2,0.99969757
2,0.99743503
2,0.985446
3,0.99668235
3,0.9969959
3,0.9980311
3,0.9988802
3,0.9990627
3,0.99918133
3,0.9990722
3,0.99917275
3,0.9985726
3,0.9956762
3,0.9918888
3,0.9934376
3,0.9929535
3,0.9965814
3,0.9981658
3,0.9967924
3,0.99469095
3,0.99632
3,0.99598926
3,0.9945582
3,0.9940521
3,0.99774325
3,0.9981805
3,0.9981692
3,0.9975138
3,0.9974017
3,0.99557024
3,0.9787515
2,0.9983171
2,0.99923074
2,0.9887185
3,0.99090755
3,0.9967974
3,0.9961696
3,0.99652666
3,0.9981775
3,0.99874544
3,0.9975452
3,0.99575895
3,0.9941836
3,0.9971168
3,0.99619126
3,0.99345195
3,0.99509263
3,0.99700963
3,0.9946838
3,0.99790704
3,0.99736077
3,0.9961903
3,0.99289036
3,0.99755305
3,0.9973845
3,0.9988257
3,0.99965906
3,0.99931395
3,0.9986842
3,0.99889886
3,0.9988475
3,0.9980661
3,0.9966319
3,0.99527955
3,0.9913986
3,0.9970011
3,0.9968154
3,0.9836729
3,0.9784218
3,0.99162406
3,0.998256
3,0.99738616
3,0.998781
3,0.99947363
3,0.9994172
3,0.999326
3,0.9993198
3,0.9986853
3,0.9974649
3,0.9930797
3,0.97158426
2,0.9737821
2,0.9772942
3,0.98311514
3,0.9912224
3,0.99681276
3,0.9974408
3,0.9977658
3,0.99722064
3,0.99656576
3,0.99741274
3,0.9933242
3,0.9921295
3,0.9975495
3,0.9988445
3,0.9978022
3,0.99571264
3,0.99713886
3,0.99529475
3,0.98998874
3,0.9284528
2,0.9913995
2,0.99966586
2,0.9997435
3,0.9874746
3,0.9931104
3,0.992328
3,0.99237424
3,0.99638927
3,0.9918916
3,0.9963767
3,0.99197984
3,0.98559445
3,0.9885949
3,0.9949915
3,0.9963405
3,0.9966294
3,0.9973845
3,0.99837023
3,0.99808586
3,0.99335194
3,0.99249226
3,0.9987562
3,0.9995746
3,0.99953806
3,0.99927884
3,0.9994843
3,0.99967504
3,0.9994493
3,0.9986022
3,0.9972945
3,0.9964611
3,0.9962541
3,0.9882388
3,0.97481143
3,0.98425287
3,0.93495345
1,0.99528944
1,0.9982316
1,0.999374
1,0.99963903
1,0.9997327
1,0.9996656
1,0.99926096
1,0.99894744
1,0.99831176
1,0.9903375
1,0.92570806
2,0.99684876
2,0.994055
2,0.9924138
2,0.9879897
2,0.9995782
2,0.99992275
2,0.9995515
2,0.995786
2,0.9688112
2,0.9706807
2,0.96934456
2,0.97797525
2,0.9897078
3,0.9503296
3,0.9961248
3,0.9964204
3,0.9950618
3,0.9926771
3,0.99245024
3,0.9895789
3,0.99378645
3,0.99642414
3,0.99668294
3,0.9969644
3,0.9974859
3,0.99466276
3,0.99324375
3,0.9952441
3,0.99692434
3,0.9940714
3,0.9924017
3,0.9952626
3,0.99729806
3,0.9500866
2,0.9612724
3,0.9824969
3,0.9985667
3,0.9984396
3,0.9984701
3,0.9989188
3,0.9988764
3,0.99835974
3,0.9983285
3,0.99784815
3,0.9842008
3,0.98597497
3,0.94801664
3,0.9439386
3,0.9570269
3,0.9866057
3,0.9850692
3,0.9939873
3,0.99106544
3,0.9923766
3,0.9945803
3,0.998558
3,0.99875474
3,0.9980274
3,0.99827373
3,0.9990759
3,0.99898225
3,0.9976439
3,0.99702126
3,0.99437124
3,0.9755796
3,0.9137512
2,0.95736146
3,0.9925289
3,0.9948207
3,0.99704593
3,0.9970939
3,0.9977806
3,0.99785787
3,0.9990452
3,0.99913436
3,0.99845314
3,0.99772197
3,0.99798596
3,0.9972254
3,0.9982576
3,0.9990695
3,0.99892515
3,0.9979241
3,0.9973984
3,0.99289215
3,0.9908573
3,0.99498415
3,0.94959617
2,0.99411714
2,0.9897283
2,0.96164143
2,0.92652756
3,0.95474386
2,0.9251602
3,0.91321474
3,0.9610397
3,0.99621385
3,0.99458176
3,0.9960756
3,0.9977356
3,0.9980744
3,0.9979417
3,0.99868387
3,0.9975314
3,0.99601775
3,0.9978986
3,0.9981007
3,0.9983777
3,0.9988386
3,0.9968299
3,0.9949419
3,0.9770045
3,0.9648152
3,0.92583156
1,0.99363625
1,0.9988097
1,0.9989249
1,0.9983341
1,0.9991254
1,0.9992805
1,0.9997825
1,0.999342
1,0.99953616
1,0.9994435
1,0.9994343
1,0.9986823
1,0.9984479
1,0.9975273
1,0.9952049
1,0.997575
1,0.9989483
1,0.9993998
1,0.9997646
1,0.9997682
1,0.9992555
1,0.9988022
1,0.9966047
1,0.99505013
1,0.9976751
1,0.99903905
1,0.9990268
1,0.99885
1,0.9978461
1,0.9981839
1,0.9981863
1,0.9959727
1,0.9919475
1,0.99055463
1,0.9962681
1,0.9901654
1,0.99400526
1,0.9919046
1,0.9950054
1,0.99684936
1,0.9988325
1,0.9991161
1,0.9997098
1,0.99979407
1,0.99986815
1,0.9996791
1,0.998965
1,0.99736065
1,0.9986222
1,0.99754333
1,0.9987459
1,0.99851054
1,0.9990721
1,0.9991929
1,0.99970394
1,0.9995628
1,0.99962676
1,0.999718
1,0.9994611
1,0.99933726
1,0.99941003
1,0.9992218
1,0.99951804
1,0.9994599
1,0.9992957
1,0.99828327
1,0.9960276
1,0.9972939
1,0.9725292
2,0.9996805
2,0.9999664
2,0.99998546
2,0.99999046
2,0.99999154
2,0.9999931
2,0.99999106
2,0.9999862
2,0.99997795
2,0.999943
2,0.9987973
2,0.9824652
2,0.9813943
2,0.94795954
2,0.96744776
2,0.99926585
2,0.9979997
3,0.9915611
3,0.9914751
3,0.9938152
3,0.9983858
3,0.9969348
3,0.99257165
3,0.99432796
3,0.99145824
2,0.975276
2,0.99372274
2,0.9420726
3,0.98713195
3,0.99071103
3,0.98962736
3,0.987359
3,0.9914008
3,0.993747
3,0.9948585
3,0.9942953
3,0.995507
3,0.9951586
3,0.99301237
3,0.9730651
3,0.9514558
2,0.9632068
2,0.99894756
2,0.9997522
2,0.99945384
2,0.99897385
2,0.99804735
2,0.9978758
2,0.99330693
2,0.98072195
2,0.9869515
2,0.9944385
2,0.9995746
2,0.9985304
3,0.9954104
3,0.9971603
3,0.99525803
3,0.99610245
3,0.9934569
3,0.9855414
2,0.9815294
2,0.98450077
3,0.98239166
3,0.99340737
3,0.99287933
3,0.99313354
3,0.9940111
3,0.9882874
3,0.99397635
3,0.99530905
3,0.9954786
3,0.9965178
3,0.99374676
3,0.99816763
3,0.9976394
3,0.99710315
3,0.9935781
3,0.99367553
3,0.9940486
3,0.9899402
3,0.9863556
2,0.9879909
3,0.9868825
3,0.99090415
3,0.99353915
2,0.96081567
2,0.9777925
2,0.9947337
2,0.99801934
2,0.9892608
3,0.98406696
3,0.9940096
3,0.9929168
3,0.99317765
3,0.99283504
3,0.9970987
3,0.9973816
3,0.9979038
3,0.99546033
3,0.99691963
3,0.99807966
