brain_state,confidence_score
1,0.9198009
1,0.96371865
1,0.9873819
1,0.9936818
1,0.9823568
1,0.98189515
1,0.9804027
1,0.9672276
1,0.98231065
1,0.98626465
1,0.9915011
1,0.99478793
1,0.99299425
1,0.99646425
1,0.99207205
1,0.975805
1,0.96497524
1,0.98106956
1,0.9933258
1,0.9976292
1,0.9980388
1,0.99813
1,0.9987702
1,0.99950373
1,0.99966645
1,0.9996519
1,0.99925023
1,0.9984037
1,0.9981365
1,0.9989115
1,0.99844044
1,0.99843687
1,0.9990934
1,0.99905115
1,0.99914527
1,0.9981851
1,0.9975032
1,0.99137384
1,0.99449617
1,0.9949174
1,0.9945422
1,0.9926604
1,0.9945427
1,0.9843581
1,0.94124025
2,0.9995585
2,0.99993443
2,0.9997583
2,0.9715612
3,0.9869704
3,0.9757205
3,0.97350854
3,0.98195124
3,0.95588744
2,0.9577986
3,0.9818268
3,0.9966882
3,0.998184
3,0.99635494
3,0.9947825
3,0.9976156
3,0.9991185
3,0.99767166
3,0.9964264
3,0.9973954
3,0.9981578
3,0.9966192
3,0.99711096
3,0.99805045
3,0.99821365
3,0.99904925
3,0.99811494
3,0.995484
3,0.9968369
2,0.9590453
2,0.99987686
2,0.9998005
2,0.9944476
2,0.9952366
2,0.9961389
3,0.99229455
3,0.9876672
3,0.9970829
3,0.9972697
3,0.9971091
3,0.99765944
3,0.99828243
3,0.9933682
2,0.97089696
2,0.9659165
3,0.98886615
3,0.99611145
3,0.99667645
3,0.99616385
3,0.9966934
3,0.997106
3,0.9972115
3,0.994743
3,0.9896923
3,0.99549425
3,0.9922007
2,0.998483
2,0.99824774
2,0.99327266
2,0.97990555
3,0.9896108
3,0.9920374
3,0.9922465
3,0.9958948
3,0.9966107
3,0.99476767
3,0.99011093
3,0.9919003
2,0.9893426
2,0.9990087
2,0.9738612
3,0.989092
3,0.99130976
3,0.9862315
3,0.9927643
3,0.99580425
3,0.9944565
3,0.9958882
3,0.99654996
3,0.9973968
3,0.9982132
3,0.99629945
3,0.9968466
3,0.9925046
3,0.9911412
3,0.9923602
3,0.99132675
2,0.9997124
2,0.9999573
2,0.9999478
2,0.99714226
3,0.9946715
3,0.9944817
3,0.99470866
3,0.99507254
3,0.99466324
3,0.9982261
3,0.99739707
3,0.9973393
3,0.9980221
3,0.99730253
3,0.99804556
3,0.9989999
3,0.9993773
3,0.99851817
3,0.99947006
3,0.9991035
3,0.99866545
3,0.99737287
3,0.99817395
3,0.99688125
3,0.9977919
3,0.9931937
