brain_state,confidence_score
3,0.9922679
3,0.9936454
3,0.989881
3,0.99514574
3,0.9977506
3,0.9983621
3,0.9984108
3,0.9967782
3,0.99663574
3,0.9958681
3,0.9975189
3,0.9982444
3,0.99715173
3,0.99274665
3,0.9605218
2,0.980839
2,0.9788401
3,0.95852673
2,0.98737353
3,0.9827055
3,0.98710674
3,0.9870502
3,0.99527353
3,0.99761117
3,0.99867034
3,0.99490696
3,0.990931
3,0.99717915
3,0.9989906
3,0.99835616
3,0.9982724
3,0.9985966
3,0.9989189
3,0.9990538
3,0.9979571
3,0.9974081
3,0.9989524
3,0.99861884
3,0.9986945
3,0.99872667
3,0.99881774
3,0.9993862
3,0.99832994
3,0.9975618
3,0.9981737
3,0.9980094
3,0.9973368
3,0.99857116
3,0.9971449
3,0.9980716
3,0.9989498
3,0.9981989
3,0.99562114
3,0.9966935
3,0.99799925
3,0.9977849
3,0.9979201
3,0.99850225
3,0.9993224
3,0.99909174
3,0.9988426
3,0.99927634
3,0.9991897
3,0.9994904
3,0.9992867
3,0.9986644
3,0.99720865
3,0.9955883
3,0.9390824
2,0.9969217
2,0.9946774
2,0.97501504
2,0.98500663
3,0.9789766
3,0.99241465
3,0.9877809
3,0.9774942
3,0.9650218
3,0.9777706
3,0.9975594
3,0.99779224
3,0.9968663
3,0.99825567
3,0.9989801
3,0.9946577
3,0.994764
3,0.9971439
3,0.9987118
3,0.9969212
3,0.9984633
3,0.99896944
3,0.99452645
3,0.9936411
3,0.9982729
3,0.9982475
3,0.99784386
3,0.9985933
3,0.9976865
3,0.99595886
3,0.9976922
3,0.98926264
2,0.9705048
2,0.9714181
3,0.98204285
3,0.99273336
3,0.9973966
3,0.9983822
3,0.9990589
3,0.9991184
3,0.99907446
3,0.9977101
3,0.99877006
3,0.9967981
3,0.9612858
2,0.99368495
2,0.9900462
3,0.9932173
3,0.9973896
3,0.99744993
3,0.9977069
3,0.9975395
3,0.9983449
3,0.9986507
3,0.9982399
3,0.9979855
3,0.99837387
3,0.9989386
3,0.99937576
3,0.99946195
3,0.999313
3,0.9995028
3,0.9995597
3,0.9987186
3,0.99533683
3,0.9961748
3,0.9505256
